species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	57.82312925170068	1919	0.6971967088711697	26.95234762811735
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	16	0.2620802620802621	10.131542848921532
OTU-10107	Lactobacillus iners	449724	299	41.80602006688963	994	0.21756010353016517	8.41047507216179
OTU-10434	Streptococcus mitis	6675	8	25.0	13	0.1947565543071161	7.528931631129751
OTU-20779	Haemophilus influenzae	87726	104	26.923076923076923	170	0.19378519481111642	7.491380652367322
OTU-02547	Corynebacterium sp.	669408	300	60.0	1410	0.18840677135618336	7.283460653887579
OTU-02557	Corynebacterium sp.	423588	300	33.666666666666664	781	0.16431296448435745	6.35203821566983
OTU-14187	Veillonella parvula	3204	4	25.0	5	0.1560549313358302	6.032797781353967
OTU-02443	Rothia dentocariosa	515946	296	37.5	860	0.15251596097265993	5.895987669860174
OTU-05035	Prevotella histicola	613761	300	28.666666666666668	558	0.08792999229341715	3.3992124304014473
OTU-10006	Dolosigranulum pigrum	549030	300	20.0	433	0.07592663424585178	2.935184596238904
OTU-05050	Prevotella pallens	409326	300	18.0	283	0.0681510580808451	2.6345950651330012
OTU-05704	Parabacteroides distasonis	353586	283	15.19434628975265	238	0.06571527153224392	2.540432019079492
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	3	0.06238303181534623	2.411613735677868
