species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	50.0	788	0.28691211818756146	28.107022445923263
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	7	0.11466011466011466	11.23254896573307
OTU-10107	Lactobacillus iners	449724	299	34.448160535117054	428	0.09351735731248499	9.161322559917567
OTU-20779	Haemophilus influenzae	87726	104	18.26923076923077	71	0.08093381665640745	7.928590175158738
OTU-02547	Corynebacterium sp.	669408	300	50.666666666666664	583	0.07755061188393327	7.597158330872109
OTU-10434	Streptococcus mitis	6675	8	25.0	5	0.0749063670411985	7.338117863649053
OTU-02557	Corynebacterium sp.	423588	300	27.666666666666668	333	0.07025930857342512	6.882874015859263
OTU-02443	Rothia dentocariosa	515946	296	33.108108108108105	373	0.06650308365604152	6.514899673291344
OTU-14187	Veillonella parvula	3204	4	25.0	2	0.062421972534332085	6.115098219707543
OTU-05035	Prevotella histicola	613761	300	22.333333333333332	234	0.036693436044323444	3.5946311261821102
OTU-10006	Dolosigranulum pigrum	549030	300	16.666666666666668	203	0.03563193268127425	3.4906421450260674
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	1	0.020794343938448742	2.037094478679868
