species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	46.25850340136054	627	0.2281323479385586	27.41848115418297
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	6	0.09828009828009827	11.81196374329987
OTU-10434	Streptococcus mitis	6675	8	25.0	5	0.0749063670411985	9.002751392365257
OTU-10107	Lactobacillus iners	449724	299	32.77591973244147	336	0.07334498492408677	8.815093979730218
OTU-20779	Haemophilus influenzae	87726	104	17.307692307692307	56	0.06383512299660306	7.6721347615669995
OTU-02547	Corynebacterium sp.	669408	300	46.333333333333336	475	0.06310501218987523	7.5843851303743035
OTU-14187	Veillonella parvula	3204	4	25.0	2	0.062421972534332085	7.502292826971048
OTU-02557	Corynebacterium sp.	423588	300	26.666666666666668	263	0.05574520524660755	6.699833992423636
OTU-02443	Rothia dentocariosa	515946	296	30.405405405405407	299	0.05315478751652305	6.388500153292184
OTU-10006	Dolosigranulum pigrum	549030	300	15.0	169	0.029677795384587362	3.5668772131743496
OTU-05035	Prevotella histicola	613761	300	20.666666666666668	189	0.029434910331545994	3.5376856526191536
