species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	53.06122448979592	1148	0.4176750514939796	27.185441006330596
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	10	0.1638001638001638	10.661349472248348
OTU-10107	Lactobacillus iners	449724	299	37.458193979933114	595	0.13024877480410207	8.47757214829671
OTU-14187	Veillonella parvula	3204	4	25.0	4	0.12484394506866417	8.125785084653705
OTU-10434	Streptococcus mitis	6675	8	25.0	8	0.1198501872659176	7.800753681267556
OTU-02547	Corynebacterium sp.	669408	300	54.0	848	0.11318508293895502	7.366938446592731
OTU-20779	Haemophilus influenzae	87726	104	21.153846153846153	98	0.11171146524405536	7.271024298100295
OTU-02557	Corynebacterium sp.	423588	300	28.666666666666668	450	0.09492242462014977	6.1782669696424035
OTU-02443	Rothia dentocariosa	515946	296	35.472972972972975	530	0.09416876959991938	6.129213419476281
OTU-05035	Prevotella histicola	613761	300	23.666666666666668	321	0.05044308778172611	3.2832164194682263
OTU-10006	Dolosigranulum pigrum	549030	300	17.666666666666668	272	0.047813416388904066	3.112057581371742
OTU-05050	Prevotella pallens	409326	300	15.333333333333334	195	0.046935694287682676	3.0549288102915506
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	1	0.020794343938448742	1.3534526622598495
