species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	60.204081632653065	2418	0.8797601558090069	27.550539716740463
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	18	0.29484029484029484	9.233208846135208
OTU-10107	Lactobacillus iners	449724	299	43.47826086956522	1249	0.2735255401090447	8.565716697396233
OTU-10434	Streptococcus mitis	6675	8	25.0	16	0.2397003745318352	7.5064489395795855
OTU-20779	Haemophilus influenzae	87726	104	28.846153846153847	204	0.2325080363860201	7.281213917927246
OTU-02547	Corynebacterium sp.	669408	300	62.666666666666664	1732	0.23154787513743486	7.251145540268909
OTU-02557	Corynebacterium sp.	423588	300	35.333333333333336	992	0.20849504707404365	6.529223944990922
OTU-02443	Rothia dentocariosa	515946	296	40.2027027027027	1062	0.18810108034561757	5.890567162658346
OTU-14187	Veillonella parvula	3204	4	25.0	6	0.18726591760299627	5.864413234046551
OTU-05035	Prevotella histicola	613761	300	31.333333333333332	696	0.10956382044476595	3.431096949265182
OTU-10006	Dolosigranulum pigrum	549030	300	20.0	536	0.09415150356082545	2.9484453474231738
OTU-05050	Prevotella pallens	409326	300	18.666666666666668	366	0.08823773715815755	2.7632500358641923
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	4	0.08317737575379497	2.6047799267879874
OTU-05704	Parabacteroides distasonis	353586	283	15.547703180212014	298	0.08238448354855679	2.579949740915998
