species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	60.54421768707483	2681	0.9749726175389802	27.584106002050778
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	19	0.31122031122031124	8.80510272828157
OTU-10107	Lactobacillus iners	449724	299	43.812709030100336	1386	0.3033905239658101	8.583580936062589
OTU-02547	Corynebacterium sp.	669408	300	65.0	1949	0.2604599885271763	7.36898227045778
OTU-10434	Streptococcus mitis	6675	8	25.0	17	0.2546816479400749	7.205500387578969
OTU-20779	Haemophilus influenzae	87726	104	29.807692307692307	222	0.2530264687777854	7.158671751939717
OTU-02557	Corynebacterium sp.	423588	300	36.0	1095	0.23013163734572273	6.510926937613328
OTU-02443	Rothia dentocariosa	515946	296	40.54054054054054	1184	0.20989987324254863	5.938526117742992
OTU-14187	Veillonella parvula	3204	4	25.0	6	0.18726591760299627	5.2981620496904185
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	6	0.12476606363069245	3.5299045970488874
OTU-05035	Prevotella histicola	613761	300	32.333333333333336	782	0.12301531051989292	3.480371965544204
OTU-10006	Dolosigranulum pigrum	549030	300	21.0	617	0.1083838770194707	3.0664167370821422
OTU-05050	Prevotella pallens	409326	300	19.333333333333332	404	0.09746998724732854	2.757638944810011
OTU-05704	Parabacteroides distasonis	353586	283	15.901060070671377	347	0.09586069584202994	2.712108574096629
