species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	76.53061224489795	15198	1.420336664087295	42.20311439212229
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	103	0.4217854217854218	12.532703586848804
OTU-02547	Corynebacterium sp.	669408	300	78.66666666666667	10504	0.3922869162005832	11.656200968088632
OTU-10107	Lactobacillus iners	449724	299	61.87290969899666	6735	0.37439629639512234	11.124608780625795
OTU-02557	Corynebacterium sp.	423588	300	45.666666666666664	5319	0.31392532366355985	9.327807047543034
OTU-02443	Rothia dentocariosa	515946	296	52.7027027027027	6101	0.29562202245971475	8.783952668514013
OTU-05035	Prevotella histicola	613761	300	43.0	3612	0.14712567269670115	4.371612556257439
