species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	50.0	833	0.3034200974180115	28.409940431668957
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	7	0.11466011466011466	10.735897374966765
OTU-10107	Lactobacillus iners	449724	299	34.78260869565217	457	0.09992350864085528	9.3560741439586
OTU-20779	Haemophilus influenzae	87726	104	19.23076923076923	76	0.08663338120967558	8.111688119888026
OTU-02547	Corynebacterium sp.	669408	300	51.0	623	0.08284932358143314	7.75737786581061
OTU-10434	Streptococcus mitis	6675	8	25.0	5	0.0749063670411985	7.013660082843456
OTU-02557	Corynebacterium sp.	423588	300	27.666666666666668	350	0.07383589714533934	6.913429457930841
OTU-02443	Rothia dentocariosa	515946	296	33.445945945945944	405	0.07215483790939362	6.756027910829203
OTU-14187	Veillonella parvula	3204	4	25.0	2	0.062421972534332085	5.84471673570288
OTU-05035	Prevotella histicola	613761	300	22.333333333333332	246	0.038625784303662175	3.616623422547208
OTU-10006	Dolosigranulum pigrum	549030	300	17.333333333333332	215	0.037781177713421855	3.537540912452746
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	1	0.020794343938448742	1.9470235414007098
