species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	50.68027210884354	854	0.3110348514244487	27.48211360421041
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	7	0.11466011466011466	10.131026418839996
OTU-10107	Lactobacillus iners	449724	299	34.78260869565217	470	0.10280749971093382	9.083764643998432
OTU-14187	Veillonella parvula	3204	4	25.0	3	0.09363295880149813	8.27312951939783
OTU-10434	Streptococcus mitis	6675	8	25.0	6	0.0898876404494382	7.9422043386219165
OTU-20779	Haemophilus influenzae	87726	104	19.23076923076923	78	0.08891320703098284	7.8561063023951485
OTU-02547	Corynebacterium sp.	669408	300	51.0	632	0.08401901381519193	7.423669958553492
OTU-02557	Corynebacterium sp.	423588	300	27.666666666666668	355	0.07489352861743015	6.61736925061065
OTU-02443	Rothia dentocariosa	515946	296	33.445945945945944	410	0.07307741507832215	6.456902864379863
OTU-05035	Prevotella histicola	613761	300	22.333333333333332	252	0.03957077755021906	3.496356112704667
OTU-10006	Dolosigranulum pigrum	549030	300	17.333333333333332	219	0.03848059304591735	3.4000306550925736
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	1	0.020794343938448742	1.8373263311950263
