species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	53.40136054421769	1197	0.4355100988011529	27.250654875551653
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	10	0.1638001638001638	10.249272622068704
OTU-10107	Lactobacillus iners	449724	299	38.12709030100334	620	0.13564764166466545	8.487718374067043
OTU-10434	Streptococcus mitis	6675	8	25.0	9	0.1348314606741573	8.436648452727566
OTU-14187	Veillonella parvula	3204	4	25.0	4	0.12484394506866417	7.811711530303302
OTU-02547	Corynebacterium sp.	669408	300	54.666666666666664	886	0.11846586834934748	7.412623729753245
OTU-20779	Haemophilus influenzae	87726	104	21.153846153846153	103	0.11741102979732349	7.346620572972816
OTU-02557	Corynebacterium sp.	423588	300	29.0	465	0.09793950725705167	6.128252176678195
OTU-02443	Rothia dentocariosa	515946	296	35.472972972972975	547	0.09727374570206959	6.086594271582151
OTU-05035	Prevotella histicola	613761	300	24.333333333333332	339	0.05330413630061213	3.335336254580328
OTU-10006	Dolosigranulum pigrum	549030	300	17.666666666666668	287	0.050428938309382	3.155429914007349
OTU-05050	Prevotella pallens	409326	300	15.666666666666666	199	0.047912910491881774	2.997997501071981
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	1	0.020794343938448742	1.3011397246356715
