species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10434	Streptococcus mitis	6675	8	50.0	6	0.0898876404494382	62.67032551942643
OTU-20779	Haemophilus influenzae	87726	104	37.5	47	0.05354170941340081	37.32967448057358
