species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	74.82993197278911	6493	1.2136131017132261	22.53087253715804
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	46	0.37674037674037675	6.994230200675678
OTU-02547	Corynebacterium sp.	669408	300	76.0	4518	0.3374623547970744	6.265029020606877
OTU-10107	Lactobacillus iners	449724	299	59.531772575250834	2944	0.3273118623867083	6.076583913707075
OTU-20779	Haemophilus influenzae	87726	104	35.57692307692308	547	0.31176618106376675	5.787976478688432
OTU-14187	Veillonella parvula	3204	4	25.0	18	0.2808988764044944	5.214921271998658
OTU-02557	Corynebacterium sp.	423588	300	43.333333333333336	2245	0.26499806415668054	4.919720788840532
OTU-02443	Rothia dentocariosa	515946	296	51.351351351351354	2720	0.26359347683672324	4.893644457076652
OTU-10590	Streptococcus salivarius	11766	13	15.384615384615385	57	0.2422233554309026	4.496905594568959
OTU-10434	Streptococcus mitis	6675	8	50.0	29	0.21722846441947566	4.032872450345629
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	5	0.20990764063811923	3.896960480334849
OTU-10109	Lactobacillus jensenii	140880	179	15.64245810055866	412	0.1462237365133447	2.714661175491862
OTU-05035	Prevotella histicola	613761	300	41.666666666666664	1682	0.13702402075074827	2.5438673508927905
OTU-10006	Dolosigranulum pigrum	549030	300	29.0	1367	0.1244922863960075	2.3112142021935873
OTU-05050	Prevotella pallens	409326	300	23.333333333333332	987	0.12056404919306372	2.238286008199714
OTU-13420	Subdoligranulum sp.	153624	163	17.791411042944784	351	0.11423996250585845	2.120878581679504
OTU-05704	Parabacteroides distasonis	353586	283	23.674911660777386	738	0.10435933549405237	1.9374435582144984
OTU-05577	Alistipes putredinis	143196	138	15.942028985507246	296	0.10335484231403112	1.918795022061128
OTU-10515	Streptococcus oralis	3027	6	16.666666666666668	6	0.09910802775024777	1.8399524012205373
OTU-12099	Lachnospiraceae sp.	4809	6	33.333333333333336	9	0.09357454772301933	1.7372226820008003
OTU-14182	Veillonella atypica	76371	94	17.02127659574468	120	0.07856385277133991	1.4585473330176548
OTU-15737	TM7x HGM15737	238899	198	21.21212121212121	350	0.07325271348980113	1.3599453963621295
OTU-02442	Rothia aeria	532503	299	18.06020066889632	519	0.048732119819043275	0.9047176390551414
OTU-02517	Corynebacterium sp.	678519	299	17.05685618729097	582	0.04288752415186605	0.7962120207304039
OTU-01664	Actinomyces oris	9714	12	16.666666666666668	6	0.030883261272390366	0.5733514431227678
OTU-04682	Bacteroides caccae	4266	5	20.0	2	0.02344116268166901	0.4351879917560999
