species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	65.64625850340136	3432	0.9592982613539085	22.85933578124472
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	32	0.3931203931203931	9.367754983847162
OTU-02547	Corynebacterium sp.	669408	300	68.0	2528	0.2792482312730054	6.654269419793424
OTU-10107	Lactobacillus iners	449724	299	48.82943143812709	1609	0.268122226076438	6.389145319252207
OTU-14187	Veillonella parvula	3204	4	25.0	11	0.25749063670411987	6.13580276549095
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	4	0.2518891687657431	6.002324115909627
OTU-20779	Haemophilus influenzae	87726	104	30.76923076923077	279	0.23852677655427126	5.683908642111501
OTU-10590	Streptococcus salivarius	11766	13	15.384615384615385	37	0.2358490566037736	5.620100646264438
OTU-02443	Rothia dentocariosa	515946	296	42.567567567567565	1561	0.22400987700263206	5.337982151131345
OTU-02557	Corynebacterium sp.	423588	300	38.0	1241	0.21665627921470862	5.16275160208697
OTU-10434	Streptococcus mitis	6675	8	25.0	19	0.21348314606741572	5.087138292843405
OTU-10109	Lactobacillus jensenii	140880	179	15.64245810055866	234	0.12358035207268597	2.944824230168986
OTU-05035	Prevotella histicola	613761	300	36.666666666666664	926	0.11287618470381794	2.689752198871595
OTU-05050	Prevotella pallens	409326	300	20.333333333333332	543	0.09949282479002067	2.3708370809405355
OTU-10006	Dolosigranulum pigrum	549030	300	23.0	706	0.09641731781505565	2.2975501278931465
OTU-05704	Parabacteroides distasonis	353586	283	18.72791519434629	430	0.09120270598949054	2.1732899603398295
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	4	0.06238303181534623	1.4865394098665763
OTU-02442	Rothia aeria	532503	299	16.387959866220736	312	0.04302698764138418	1.025299844452658
OTU-01664	Actinomyces oris	9714	12	25.0	4	0.029853819229977353	0.7113934274909155
