species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	64.28571428571429	2759	0.7714265421091785	22.223603296382855
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	28	0.343980343980344	9.909540687401668
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	4	0.2518891687657431	7.256536631472614
OTU-14187	Veillonella parvula	3204	4	25.0	10	0.2340823970037453	6.743551129903155
OTU-02547	Corynebacterium sp.	669408	300	67.0	2041	0.2255350996701563	6.497316738384087
OTU-10107	Lactobacillus iners	449724	299	47.491638795986624	1322	0.22028621999270664	6.3461046483992725
OTU-20779	Haemophilus influenzae	87726	104	29.807692307692307	228	0.19492510772177005	5.615490302769776
OTU-10590	Streptococcus salivarius	11766	13	15.384615384615385	30	0.19122896481387047	5.509010153036642
OTU-02443	Rothia dentocariosa	515946	296	40.54054054054054	1253	0.17984052594651379	5.1809268764860885
OTU-02557	Corynebacterium sp.	423588	300	37.333333333333336	973	0.169898580696337	4.894514839598957
OTU-10434	Streptococcus mitis	6675	8	25.0	14	0.15730337078651685	4.5316663592949205
OTU-10109	Lactobacillus jensenii	140880	179	15.64245810055866	191	0.10078790459965928	2.9035433532950754
OTU-05035	Prevotella histicola	613761	300	35.333333333333336	739	0.09008718377348837	2.5952721678417388
OTU-05050	Prevotella pallens	409326	300	19.666666666666668	434	0.0795209686167016	2.290875882296999
OTU-10006	Dolosigranulum pigrum	549030	300	22.333333333333332	578	0.07893193450266835	2.2739067222230918
OTU-05704	Parabacteroides distasonis	353586	283	18.374558303886925	329	0.06977934646733751	2.0102348435290014
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	3	0.046787273861509666	1.3478688596512607
OTU-02442	Rothia aeria	532503	299	15.384615384615385	254	0.035058957414324424	1.0099942366909858
OTU-01664	Actinomyces oris	9714	12	25.0	4	0.029853819229977353	0.8600422713418181
