species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	59.863945578231295	2328	0.8465871921108606	27.41706180440641
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	18	0.29484029484029484	9.548519823351185
OTU-10107	Lactobacillus iners	449724	299	43.47826086956522	1205	0.26380846919443923	8.543541848767589
OTU-10434	Streptococcus mitis	6675	8	25.0	15	0.2247191011235955	7.277617168733956
OTU-20779	Haemophilus influenzae	87726	104	28.846153846153847	197	0.22452864601144473	7.271449204430382
OTU-02547	Corynebacterium sp.	669408	300	62.666666666666664	1671	0.2232031884889335	7.228523737151346
OTU-02557	Corynebacterium sp.	423588	300	35.0	935	0.19664154791920452	6.368314478243346
OTU-14187	Veillonella parvula	3204	4	25.0	6	0.18726591760299627	6.064680973944964
OTU-02443	Rothia dentocariosa	515946	296	39.86486486486486	1022	0.18122051532524722	5.868898224777362
OTU-05035	Prevotella histicola	613761	300	31.0	675	0.10622049951039574	3.4399929825421696
OTU-10006	Dolosigranulum pigrum	549030	300	20.0	523	0.09184926142469446	2.9745747403655103
OTU-05050	Prevotella pallens	409326	300	18.333333333333332	351	0.08465135368874686	2.741467645079986
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	4	0.08317737575379497	2.693732285370439
OTU-05704	Parabacteroides distasonis	353586	283	15.547703180212014	286	0.07909815433868989	2.5616250828353593
