species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	72.44897959183673	10826	1.0117492252539186	41.903490132308185
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	77	0.3153153153153153	13.059374669217009
OTU-02547	Corynebacterium sp.	669408	300	76.0	7583	0.28319798986567235	11.729175449427657
OTU-10107	Lactobacillus iners	449724	299	60.869565217391305	4811	0.26744180875381346	11.07660368236953
OTU-02557	Corynebacterium sp.	423588	300	43.0	3747	0.22114649140202272	9.1591963590914
OTU-02443	Rothia dentocariosa	515946	296	49.66216216216216	4329	0.20976032375481155	8.687616888862522
OTU-05035	Prevotella histicola	613761	300	40.0	2599	0.10586368309488547	4.384542818723698
