species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-02547	Corynebacterium sp.	669408	300	70.66666666666667	408	0.054944069984224866	36.742848909443474
OTU-14187	Veillonella parvula	3204	4	25.0	1	0.031210986267166042	20.871780213195933
OTU-02443	Rothia dentocariosa	515946	296	40.2027027027027	169	0.030080667356661355	20.115899970613164
OTU-01664	Actinomyces oris	9714	12	16.666666666666668	2	0.018118179946469012	12.116203777374961
OTU-02442	Rothia aeria	532503	299	15.050167224080267	48	0.008135165435687687	5.440244134492041
OTU-02517	Corynebacterium sp.	678519	299	16.387959866220736	53	0.007047702422481906	4.713022994880429
