species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	55.4421768707483	3326	1.2097776880604993	61.658032232844086
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	26	0.4258804258804259	21.705598710760395
OTU-02547	Corynebacterium sp.	669408	300	57.333333333333336	2441	0.32641826808164826	16.636369056395523
