species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	75.17006802721089	7584	1.4175329991364711	22.507813161343115
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	59	0.4832104832104832	7.672492478361562
OTU-02547	Corynebacterium sp.	669408	300	77.33333333333333	5265	0.3932579234189015	6.244211506837916
OTU-10107	Lactobacillus iners	449724	299	61.53846153846154	3399	0.37789844437921927	6.0003312693469155
OTU-20779	Haemophilus influenzae	87726	104	36.53846153846154	636	0.3624923055878531	5.755710160938838
OTU-14187	Veillonella parvula	3204	4	25.0	22	0.3433208489388265	5.4513027400534355
OTU-02557	Corynebacterium sp.	423588	300	45.333333333333336	2645	0.31221375487502007	4.957379380521773
OTU-02443	Rothia dentocariosa	515946	296	51.689189189189186	3174	0.30759032922049984	4.883967896725138
OTU-10590	Streptococcus salivarius	11766	13	15.384615384615385	67	0.28471868094509606	4.520808247963281
OTU-10434	Streptococcus mitis	6675	8	50.0	34	0.2546816479400749	4.043875487166913
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	5	0.20990764063811923	3.332946717642014
OTU-10109	Lactobacillus jensenii	140880	179	17.318435754189945	486	0.17248722316865417	2.7387794105421017
OTU-05035	Prevotella histicola	613761	300	42.666666666666664	1930	0.15722732464265407	2.4964803281972827
OTU-10006	Dolosigranulum pigrum	549030	300	29.333333333333332	1612	0.1468043640602517	2.330982911544783
OTU-05050	Prevotella pallens	409326	300	23.666666666666668	1140	0.13925330909837147	2.211086066563701
OTU-13420	Subdoligranulum sp.	153624	163	17.791411042944784	420	0.13669739103265116	2.1705027952649174
OTU-05704	Parabacteroides distasonis	353586	283	24.381625441696112	857	0.12118692482168411	1.9242251595876954
OTU-10515	Streptococcus oralis	3027	6	16.666666666666668	7	0.11562603237528907	1.835928429797256
OTU-05577	Alistipes putredinis	143196	138	15.942028985507246	328	0.11452833878041287	1.818499077283468
OTU-14182	Veillonella atypica	76371	94	17.02127659574468	148	0.09689541841798588	1.538520778895975
OTU-12099	Lachnospiraceae sp.	4809	6	33.333333333333336	9	0.09357454772301933	1.4857914687629339
OTU-15737	TM7x HGM15737	238899	198	22.22222222222222	413	0.08643820191796533	1.3724794413655201
OTU-02442	Rothia aeria	532503	299	18.39464882943144	597	0.05605602221959313	0.8900663867827405
OTU-02517	Corynebacterium sp.	678519	299	17.391304347826086	675	0.049740685227679694	0.7897904671734634
OTU-01664	Actinomyces oris	9714	12	16.666666666666668	8	0.04117768169652049	0.6538257427567039
OTU-04682	Bacteroides caccae	4266	5	20.0	2	0.02344116268166901	0.3722024885805568
