species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	62.585034013605444	4826	1.3491609565357168	50.71436798378075
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	45	0.5528255528255528	20.780469803114922
OTU-02547	Corynebacterium sp.	669408	300	64.0	3501	0.3869209809264305	14.544189788691781
OTU-10107	Lactobacillus iners	449724	299	43.1438127090301	2229	0.37140557319600465	13.960972424412544
