species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	62.244897959183675	3326	1.2097776880604993	26.849583679410035
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	26	0.4258804258804259	9.451911904931285
OTU-10107	Lactobacillus iners	449724	299	45.819397993311036	1710	0.3742184095133904	8.305334607975546
OTU-10434	Streptococcus mitis	6675	8	37.5	22	0.3295880149812734	7.3148158337730935
OTU-02547	Corynebacterium sp.	669408	300	66.66666666666667	2441	0.32641826808164826	7.244467053609627
OTU-20779	Haemophilus influenzae	87726	104	31.73076923076923	262	0.29862298520393044	6.627583653557339
OTU-02557	Corynebacterium sp.	423588	300	37.333333333333336	1350	0.28415819145018273	6.3065546792841465
OTU-02443	Rothia dentocariosa	515946	296	41.891891891891895	1472	0.2606726285308928	5.785320411961479
OTU-14187	Veillonella parvula	3204	4	25.0	8	0.24968789013732834	5.541527146797799
OTU-05035	Prevotella histicola	613761	300	34.0	969	0.15248280682545812	3.3841753918400195
OTU-10006	Dolosigranulum pigrum	549030	300	21.0	750	0.13178696974664408	2.92485578713322
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	6	0.12476606363069245	2.7690350870773783
OTU-05050	Prevotella pallens	409326	300	20.333333333333332	513	0.12380352090998373	2.7476725908272543
OTU-05704	Parabacteroides distasonis	353586	283	16.25441696113074	419	0.11570876674981476	2.568019104626705
OTU-11960	Agathobacter sp.	2001	3	33.333333333333336	1	0.04997501249375312	1.109136243024747
OTU-02442	Rothia aeria	532503	299	15.050167224080267	294	0.048211934956234985	1.070006824170302
