species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	56.802721088435376	1643	0.5973899748417798	27.058346799836134
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	13	0.21294021294021295	9.644972918893167
OTU-10434	Streptococcus mitis	6675	8	25.0	13	0.1947565543071161	8.821357253909031
OTU-10107	Lactobacillus iners	449724	299	41.137123745819395	860	0.18825768693687683	8.526995757205563
OTU-20779	Haemophilus influenzae	87726	104	26.923076923076923	146	0.1664272849554294	7.538203490059999
OTU-02547	Corynebacterium sp.	669408	300	58.666666666666664	1201	0.16034914431856206	7.262898506419972
OTU-14187	Veillonella parvula	3204	4	25.0	5	0.1560549313358302	7.06839523550403
OTU-02557	Corynebacterium sp.	423588	300	32.333333333333336	655	0.13771164433364497	6.237549319006166
OTU-02443	Rothia dentocariosa	515946	296	36.82432432432432	728	0.12912203990340074	5.848489399464472
OTU-05035	Prevotella histicola	613761	300	26.666666666666668	473	0.07433186533520376	3.3668080738237336
OTU-10006	Dolosigranulum pigrum	549030	300	19.333333333333332	384	0.06731144017631095	3.0488229943420633
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	3	0.06238303181534623	2.825594302502173
OTU-05050	Prevotella pallens	409326	300	17.0	252	0.06074864533403693	2.7515659490334965
