species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	68.02721088435374	4826	1.3491609565357168	21.862723073983886
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	45	0.5528255528255528	8.958361795972374
OTU-02547	Corynebacterium sp.	669408	300	71.33333333333333	3501	0.3869209809264305	6.269931112763275
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	6	0.3778337531486146	6.122675484400935
OTU-10107	Lactobacillus iners	449724	299	51.17056856187291	2229	0.37140557319600465	6.018508878116603
OTU-20779	Haemophilus influenzae	87726	104	33.65384615384615	398	0.34026400383010735	5.513869677109717
OTU-02443	Rothia dentocariosa	515946	296	44.932432432432435	2151	0.3086388885658577	5.001394769015379
OTU-02557	Corynebacterium sp.	423588	300	39.666666666666664	1719	0.29976769880166576	4.857639967772615
OTU-10590	Streptococcus salivarius	11766	13	15.384615384615385	45	0.28684344722080574	4.648206592249817
OTU-10434	Streptococcus mitis	6675	8	25.0	25	0.2808988764044944	4.551876717803691
OTU-14187	Veillonella parvula	3204	4	25.0	12	0.2808988764044944	4.551876717803691
OTU-10109	Lactobacillus jensenii	140880	179	17.318435754189945	327	0.17259369676320271	2.7968258185724904
OTU-05035	Prevotella histicola	613761	300	38.666666666666664	1287	0.15690146490246204	2.542538205280563
OTU-05050	Prevotella pallens	409326	300	22.0	754	0.1381539408686475	2.2387405566096548
OTU-10006	Dolosigranulum pigrum	549030	300	24.0	963	0.13152468899695827	2.131315643995387
OTU-05704	Parabacteroides distasonis	353586	283	19.434628975265017	596	0.12641054792893383	2.0484426188089766
OTU-13420	Subdoligranulum sp.	153624	163	15.337423312883436	260	0.12337265010675415	1.9992144533394438
OTU-05577	Alistipes putredinis	143196	138	15.217391304347826	235	0.12304812983602893	1.9939557058368647
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	7	0.1091703056768559	1.7690699907621332
OTU-14182	Veillonella atypica	76371	94	15.957446808510639	105	0.10306268086053606	1.670097878241282
OTU-02517	Corynebacterium sp.	678519	299	15.384615384615385	528	0.057248212651377486	0.9276890304411004
OTU-02442	Rothia aeria	532503	299	17.05685618729097	410	0.05653677068485999	0.9161603402415848
OTU-01664	Actinomyces oris	9714	12	25.0	5	0.03757463454807494	0.6088849708785378
