species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	68.36734693877551	5429	1.014739801201464	48.63718090362057
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	37	0.30303030303030304	14.524452130795702
OTU-02547	Corynebacterium sp.	669408	300	65.66666666666667	3761	0.2809198575457718	13.464683177594583
OTU-10107	Lactobacillus iners	449724	299	50.50167224080268	2425	0.26960980512492105	12.922584538149241
OTU-02443	Rothia dentocariosa	515946	296	42.567567567567565	2250	0.2180460745892012	10.451099249839913
