species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	48.63945578231292	756	0.27504326989574107	27.704740483089296
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	7	0.11466011466011466	11.54955989878932
OTU-10107	Lactobacillus iners	449724	299	34.448160535117054	415	0.09070229740907756	9.136321030109261
OTU-20779	Haemophilus influenzae	87726	104	18.26923076923077	69	0.0786539908351002	7.922711233297032
OTU-10434	Streptococcus mitis	6675	8	25.0	5	0.0749063670411985	7.545218104024485
OTU-02547	Corynebacterium sp.	669408	300	50.333333333333336	563	0.07479295138390936	7.5337938966512015
OTU-02557	Corynebacterium sp.	423588	300	27.333333333333332	319	0.06736970830146274	6.786060555566255
OTU-02443	Rothia dentocariosa	515946	296	33.108108108108105	357	0.06360161722350789	6.406505784162631
OTU-14187	Veillonella parvula	3204	4	25.0	2	0.062421972534332085	6.287681753353737
OTU-05035	Prevotella histicola	613761	300	22.333333333333332	225	0.03523847230436603	3.5495241551740575
OTU-10006	Dolosigranulum pigrum	549030	300	16.333333333333332	197	0.03458098828843597	3.4832966701676926
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	1	0.020794343938448742	2.094586435615031
